date,symbol,volume,low,high,open,close,last
2023-05-30,AAPL,55964401,176.57,178.99,176.96,177.3,177.3
2023-05-30,ADBE,5332305,416.08,432.99,429.94,417.21,417.21
2023-05-30,ADP,1916646,207.715,213.0,212.66,210.12,210.12
2023-05-30,ADSK,1776300,192.98,202.88,202.2,195.04,195.04
2023-05-30,ALGN,547795,281.86,287.06,283.79,284.95,284.95
2023-05-30,AMAT,7753836,135.485,138.8,138.0,136.57,136.57
2023-05-30,AMD,98902282,123.51,130.79,130.415,125.27,125.27
2023-05-30,AMGN,3125924,214.72,219.0,215.03,218.53,218.53
2023-05-30,AMZN,64314808,119.855,122.92,122.37,121.66,121.66
2023-05-30,ANSS,991985,324.15,331.71,324.45,329.16,329.16
2023-05-30,ASML,1411133,725.55,747.13,743.13,728.26,728.26
2023-05-30,ATVI,8190961,78.89,80.27,79.0,80.02,80.02
2023-05-30,AVGO,11691201,798.81,921.7799,835.12,803.34,803.34
2023-05-30,BIDU,2961135,121.33,127.9599,125.06,123.62,123.62
2023-05-30,BIIB,802649,295.0,298.95,297.92,298.69,298.69
2023-05-30,BKNG,485715,2520.13,2606.24,2595.22,2528.77,2528.77
2023-05-30,CDNS,3316779,231.5052,239.0,231.98,234.75,234.75
2023-05-30,CDW,693763,173.91,176.14,175.19,174.61,174.61
2023-05-30,CHTR,1035248,329.525,336.65,332.0,333.34,333.34
2023-05-30,CMCSA,24313521,39.07,39.755,39.12,39.16,39.16
2023-05-30,COST,2544804,501.59,514.795,509.785,508.03,508.03
2023-05-30,CPRT,1807715,87.95,88.93,88.69,88.6,88.6
2023-05-30,CRWD,6715672,154.91,160.78,159.54,158.59,158.59
2023-05-30,CSCO,19074758,49.74,50.485,49.99,50.17,50.17
2023-05-30,CSX,9079422,30.4,31.12,30.72,30.97,30.97
2023-05-30,CTAS,236709,467.31,474.165,470.33,471.59,471.59
2023-05-30,DDOG,3435417,92.43,95.34,94.93,93.69,93.69
2023-05-30,DOCU,2915191,55.23,56.98,56.3,55.97,55.97
2023-05-30,DXCM,8040117,113.01,116.67,115.23,113.56,113.56
2023-05-30,EA,2247600,126.1,127.3927,127.03,126.48,126.48
2023-05-30,EBAY,4906808,43.335,44.475,44.25,43.62,43.62
2023-05-30,ENPH,4056620,167.2962,175.81,167.72,174.12,174.12
2023-05-30,ETSY,3378193,82.375,86.28,86.13,82.49,82.49
2023-05-30,EXC,8406337,39.25,39.74,39.39,39.34,39.34
2023-05-30,EXPE,1929908,95.17,97.32,97.0,97.005,97.005
2023-05-30,FAST,1916856,54.775,55.41,55.37,54.9,54.9
2023-05-30,FIS,4006426,53.34,54.61,54.5,53.97,53.97
2023-05-30,FISV,4087484,111.38,113.83,113.77,112.96,112.96
2023-05-30,FOX,1527057,29.13,29.515,29.22,29.29,29.29
2023-05-30,FOXA,4574630,31.225,31.65,31.37,31.48,31.48
2023-05-30,GILD,5038456,76.01,76.87,76.52,76.33,76.33
2023-05-30,GOOG,27230726,122.89,126.38,126.29,124.64,124.64
2023-05-30,GOOGL,35076658,122.0,125.66,125.64,123.67,123.67
2023-05-30,IBM,3741050,128.26,130.0699,129.56,129.48,129.48
2023-05-30,IDXX,322014,464.71,475.74,469.35,466.22,466.22
2023-05-30,ILMN,1320769,193.58,198.4684,196.19,194.51,194.51
2023-05-30,INTC,54874794,28.995,30.0399,29.7,29.99,29.99
2023-05-30,INTU,3400667,405.61,427.37,424.37,406.09,406.09
2023-05-30,ISRG,1804713,305.97,313.13,308.88,307.07,307.07
2023-05-30,JD,15818623,31.67,33.08,32.99,32.1,32.1
2023-05-30,KHC,7503674,37.74,38.23,38.0,37.85,37.85
2023-05-30,KLAC,1233079,453.66,473.97,467.81,458.73,458.73
2023-05-30,LRCX,1365595,619.2,644.5999,640.0,629.96,629.96
2023-05-30,LULU,2531661,335.3455,343.3799,341.02,336.64,336.64
2023-05-30,MAR,1037450,168.75,173.04,172.43,169.09,169.09
2023-05-30,MCHP,4875821,76.24,80.13,80.0,76.85,76.85
2023-05-30,MDLZ,10882355,72.25,74.53,74.41,72.37,72.37
2023-05-30,MELI,515103,1242.32,1301.9792,1297.25,1249.72,1249.72
2023-05-30,MNST,3860390,57.32,57.885,57.55,57.75,57.75
2023-05-30,MPWR,1179664,512.33,553.64,540.32,514.97,514.97
2023-05-30,MRNA,2618541,124.23,129.24,126.47,128.89,128.89
2023-05-30,MRVL,51926526,61.31,67.99,67.49,63.4,63.4
2023-05-30,MSFT,29503070,330.52,335.74,335.23,331.21,331.21
2023-05-30,MTCH,4758454,34.1,35.06,34.63,34.89,34.89
2023-05-30,MU,24454683,71.5832,74.7699,74.385,71.69,71.69
2023-05-30,NFLX,10864990,385.79,405.11,397.48,392.98,392.98
2023-05-30,NTES,1958941,84.13,89.79,87.75,84.97,84.97
2023-05-30,NVDA,92340110,399.49,419.38,405.95,401.11,401.11
2023-05-30,OKTA,3273330,87.655,90.9999,90.42,90.11,90.11
2023-05-30,ORLY,396237,915.24,928.58,919.87,928.08,928.08
2023-05-30,PANW,5584980,211.42,219.5,216.0,212.48,212.48
2023-05-30,PAYX,2164173,105.195,108.55,108.55,107.34,107.34
2023-05-30,PCAR,1782087,70.3,71.41,71.29,71.16,71.16
2023-05-30,PDD,21534514,66.76,72.27,71.445,67.63,67.63
2023-05-30,PEP,4331831,180.7,183.09,182.055,181.61,181.61
2023-05-30,PTON,10988566,6.92,7.44,7.02,7.05,7.05
2023-05-30,PYPL,21356716,59.55,62.19,61.04,62.05,62.05
2023-05-30,QCOM,18291786,112.61,116.69,114.5,116.0,116.0
2023-05-30,REGN,497087,717.88,729.45,720.02,728.6,728.6
2023-05-30,ROKU,4142115,56.42,59.17,57.49,57.73,57.73
2023-05-30,ROST,2539303,102.16,104.0,103.37,103.26,103.26
2023-05-30,SBUX,6505373,97.305,98.96,98.89,97.75,97.75
2023-05-30,SGEN,1185137,192.41,195.37,192.41,194.01,194.01
2023-05-30,SIRI,12567692,3.52,3.61,3.53,3.6,3.6
2023-05-30,SNPS,2692420,452.0,468.03,454.17,464.83,464.83
2023-05-30,SPLK,1723198,98.29,102.07,101.27,99.15,99.15
2023-05-30,SWKS,1829385,103.93,107.49,107.31,104.97,104.97
2023-05-30,TCOM,7417678,30.815,31.76,31.14,31.38,31.38
2023-05-30,TEAM,1423548,164.74,169.63,166.6,168.85,168.85
2023-05-30,TMUS,6874746,133.71,135.79,134.17,135.12,135.12
2023-05-30,TSLA,128818746,197.53,204.48,200.1,201.16,201.16
2023-05-30,TTWO,1199463,137.64,139.95,139.51,138.28,138.28
2023-05-30,TXN,5677278,175.03,178.19,177.83,176.55,176.55
2023-05-30,ULTA,3395592,403.15,418.0,417.65,412.2,412.2
2023-05-30,VRSK,896954,217.535,219.96,217.84,218.64,218.64
2023-05-30,VRSN,456135,224.58,227.83,227.27,224.85,224.85
2023-05-30,VRTX,1888327,321.615,330.07,329.82,325.3,325.3
2023-05-30,WBA,7507861,29.495,29.96,29.75,29.93,29.93
2023-05-30,WDAY,3549015,208.96,218.7295,217.37,209.08,209.08
2023-05-30,XEL,2339831,64.01,64.74,64.27,64.15,64.15
2023-05-30,ZM,4622346,63.93,67.2592,67.0,65.68,65.68
2023-05-30,ZS,2669739,133.52,137.65,134.56,134.72,134.72
